N,X,Y,Z,Time,Jitter,Time Calculated,Sender
0,-1.024,-0.002,0.002,1653088401.340478,0.0,1653088401.340478,20.0
1,-1.024,-0.002,0.002,1653088401.543701,0.003222990036010731,1653088401.540478,20.0
2,-1.024,-0.002,0.002,1653088401.723479,-0.016998910903930686,1653088401.740478,20.0
3,-1.024,-0.002,0.001,1653088401.926317,-0.014160966873169034,1653088401.9404778,20.0
4,-1.025,-0.002,0.002,1653088402.128724,-0.011753845214843794,1653088402.140478,20.0
5,-1.024,-0.002,0.001,1653088402.330177,-0.010300874710083008,1653088402.340478,20.0
6,-1.024,-0.002,0.001,1653088402.532581,-0.00789685249328631,1653088402.540478,20.0
7,-1.024,-0.002,0.001,1653088402.73557,-0.004907989501953258,1653088402.740478,20.0
8,-1.025,-0.002,0.001,1653088402.938674,-0.0018039703369141513,1653088402.9404778,20.0
9,-1.024,-0.002,0.001,1653088403.14101,0.0005321025848388228,1653088403.140478,20.0
10,-1.024,-0.002,0.002,1653088403.342483,0.0020051002502441406,1653088403.340478,20.0
11,-1.025,-0.002,0.001,1653088403.522096,-0.018382024765014826,1653088403.540478,20.0
12,-1.024,-0.002,0.001,1653088403.724921,-0.01555695533752477,1653088403.740478,20.0
13,-1.025,-0.002,0.002,1653088403.927589,-0.012889003753662198,1653088403.9404778,20.0
14,-1.024,-0.002,0.002,1653088404.129984,-0.01049404144287136,1653088404.140478,20.0
15,-1.024,-0.002,0.002,1653088404.332483,-0.007994890213012695,1653088404.340478,20.0
16,-1.024,-0.002,0.001,1653088404.534475,-0.006002855300903498,1653088404.540478,20.0
17,-1.024,-0.002,0.001,1653088404.737495,-0.0029829978942874646,1653088404.740478,20.0
18,-1.024,-0.002,0.002,1653088404.939919,-0.0005589485168457919,1653088404.9404778,20.0
19,-1.024,-0.002,0.002,1653088405.142512,0.0020341396331784445,1653088405.140478,20.0
20,-1.024,-0.002,0.001,1653088405.322369,-0.018108844757080078,1653088405.340478,20.0
21,-1.024,-0.002,0.001,1653088405.526385,-0.014092874526977717,1653088405.540478,20.0
22,-1.024,-0.002,0.002,1653088405.727383,-0.013095045089722035,1653088405.740478,20.0
23,-1.024,-0.002,0.002,1653088405.929952,-0.010526037216187056,1653088405.9404778,20.0
24,-1.024,-0.002,0.002,1653088406.132541,-0.007937002182007546,1653088406.140478,20.0
25,-1.024,-0.002,0.002,1653088406.334785,-0.005692958831787109,1653088406.340478,20.0
26,-1.024,-0.002,0.001,1653088406.538493,-0.0019850254058839667,1653088406.540478,20.0
27,-1.0230000000000001,-0.002,0.002,1653088406.741377,0.0008991718292232775,1653088406.740478,20.0
28,-1.0230000000000001,-0.002,0.002,1653088406.942642,0.0021640300750727093,1653088406.9404778,20.0
29,-1.024,-0.002,0.002,1653088407.12202,-0.018457937240601296,1653088407.140478,20.0
30,-1.0230000000000001,-0.002,0.001,1653088407.32625,-0.014227867126464844,1653088407.340478,20.0
31,-1.024,-0.002,0.001,1653088407.528209,-0.012268972396850764,1653088407.540478,20.0
32,-1.0230000000000001,-0.002,0.002,1653088407.731692,-0.008785867691040394,1653088407.740478,20.0
33,-1.024,-0.002,0.002,1653088407.9332,-0.00727806091308647,1653088407.9404778,20.0
34,-1.024,-0.002,0.002,1653088408.135722,-0.0047560214996345,1653088408.140478,20.0
35,-1.024,-0.002,0.002,1653088408.33866,-0.001817941665649414,1653088408.340478,20.0
36,-1.024,-0.002,0.002,1653088408.541052,0.0005741596221922052,1653088408.540478,20.0
37,-1.024,-0.002,0.002,1653088408.742026,0.0015481472015377307,1653088408.740478,20.0
38,-1.024,-0.002,0.002,1653088408.922531,-0.01794705390930229,1653088408.9404778,20.0
39,-1.024,-0.002,0.002,1653088409.126387,-0.014091062545777078,1653088409.140478,20.0
40,-1.024,-0.002,0.002,1653088409.3276,-0.012877941131591797,1653088409.340478,20.0
41,-1.024,-0.002,0.002,1653088409.530421,-0.010056924819947355,1653088409.540478,20.0
42,-1.024,-0.002,0.001,1653088409.731863,-0.008614921569824574,1653088409.740478,20.0
43,-1.024,-0.002,0.002,1653088409.935026,-0.005452013015746715,1653088409.9404778,20.0
44,-1.024,-0.002,0.002,1653088410.137141,-0.0033369541168219996,1653088410.140478,20.0
45,-1.024,-0.002,0.001,1653088410.340868,0.00039005279541015625,1653088410.340478,20.0
46,-1.024,-0.002,0.002,1653088410.54216,0.001682090759276278,1653088410.540478,20.0
47,-1.024,-0.002,0.002,1653088410.723753,-0.016724967956543324,1653088410.740478,20.0
48,-1.024,-0.002,0.002,1653088410.925367,-0.015110826492310991,1653088410.9404778,20.0
49,-1.024,-0.003,0.001,1653088411.129133,-0.01134495735168528,1653088411.140478,20.0
50,-1.024,-0.002,0.002,1653088411.330926,-0.009552001953125,1653088411.340478,20.0
51,-1.024,-0.002,0.002,1653088411.532941,-0.007536840438843839,1653088411.540478,20.0
52,-1.024,-0.002,0.002,1653088411.735153,-0.005324983596802113,1653088411.740478,20.0
53,-1.024,-0.002,0.002,1653088411.937877,-0.002601003646852007,1653088411.9404778,20.0
